Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ths-greifswald.ttp-fhir-gw.terminology.json	9463	-	0	0	0	0	0	0	12	58	0	0	0	0	0	0	0	1	0	0	98	149	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-BloomfilterTypeCS.json	955	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	494	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentComponentTypeCS.json	1131	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActionCS.json	12089	5	0	0	1	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	30	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActorCS.json	3078	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	49	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyClassCS.json	12272	5	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	25	52	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyPurposeCS.json	26682	9	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	1	0	0	48	114	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-ConsentStatusCS.json	4784	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	15	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DesignationUseCS.json	1038	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IdMatchingTypeCS.json	1043	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IdatElementsCS.json	1937	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	13	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MatchStatusCS.json	1463	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PolicyCS.json	13174	4	0	0	0	0	0	0	1	15	0	0	1	0	0	0	0	1	0	0	48	59	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-SaveActionCS.json	1219	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	28	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BloomfilterTypeVS.json	824	3	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	68	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentComponentTypeVS.json	2124	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13	61	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyActionVS.json	836	3	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	7	866	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyActorVS.json	832	2	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	8	908	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentPolicyClassVS.json	832	3	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	8	1025	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyPurposeVS.json	840	3	0	0	0	0	0	0	1	82	0	0	0	0	0	0	0	0	0	0	8	658	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentFullValuesVS.json	1963	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	39	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentOptOutFullValuesVS.json	1694	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	35	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentOptOutShortValuesVS.json	1255	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentShortValuesVS.json	1524	4	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	32	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusObjectionFullValuesVS.json	1667	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	34	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusObjectionShortValuesVS.json	1228	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusRefusalFullValuesVS.json	1961	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	15	36	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusRefusalShortValuesVS.json	1531	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	30	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusVS.json	2671	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	54	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusWithdrawalFullValuesVS.json	1982	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	36	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusWithdrawalShortValuesVS.json	1542	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	31	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IdMatchingTypeVS.json	1412	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0
fsh-generated/resources/ValueSet-IdatElementsVS.json	3457	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	58	0	1	0	1	0	0
fsh-generated/resources/ValueSet-MatchStatusVS.json	2240	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	50	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PolicyStatusVS.json	1518	3	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PolicyVS.json	788	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	151	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SaveActionVS.json	1641	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	35	0	0	0	0	0	0
/input/includes/artifacts-table-generator.html	1449	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2191	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1163	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
