Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ths-greifswald.ttp-fhir-gw.terminology.json	9889	-	0	0	0	0	0	0	7	40	0	0	0	0	0	0	0	2	0	0	58	79	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-BloomfilterTypeCS.json	955	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	20	289	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentComponentTypeCS.json	1131	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	27	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActionCS.json	12089	3	0	0	1	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	30	45	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActorCS.json	3078	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyClassCS.json	12272	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	28	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyPurposeCS.json	26682	4	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	2	0	0	43	56	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-ConsentStatusCS.json	4784	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DesignationUseCS.json	1038	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IdMatchingTypeCS.json	1043	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IdatElementsCS.json	1937	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MatchStatusCS.json	1463	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PolicyCS.json	13174	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	39	41	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-SaveActionCS.json	1219	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	25	25	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BloomfilterTypeVS.json	824	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	65	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentComponentTypeVS.json	2124	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	102	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyActionVS.json	836	2	0	0	0	0	0	0	0	2316	0	0	0	0	0	0	0	0	0	0	22	14061	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyActorVS.json	832	2	0	0	0	0	0	0	0	3062	0	0	0	0	0	0	0	0	0	0	17	8444	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyClassVS.json	832	2	0	0	0	0	0	0	0	3045	0	0	0	0	0	0	0	0	0	0	18	10205	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentPolicyPurposeVS.json	840	1	0	0	0	0	0	0	0	2003	0	0	0	0	0	0	0	0	0	0	16	6559	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentFullValuesVS.json	1963	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	19	82	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentOptOutFullValuesVS.json	1694	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	68	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentOptOutShortValuesVS.json	1255	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	35	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusConsentShortValuesVS.json	1524	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	20	46	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusObjectionFullValuesVS.json	1667	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	66	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusObjectionShortValuesVS.json	1228	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	33	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusRefusalFullValuesVS.json	1961	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	80	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsentStatusRefusalShortValuesVS.json	1531	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	17	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusVS.json	2671	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	192	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ConsentStatusWithdrawalFullValuesVS.json	1982	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	86	0	0	0	0	0	0
